original_url,metadata
https://canlii.ca/t/1bqn8,"[
  {
    ""id"": ""1992csc-scc1"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/ca/scc/doc/1992/1992canlii110/1992canlii110.html"",
    ""docTitle"": ""Friends of the Oldman River Society v. Canada (Minister of Transport)"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1992 CanLII 110 (SCC)\""},{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1992 CanLII 110 (CSC)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""Friends of the Oldman River Society v. Canada (Minister of Transport)\""},{\""type\"":\""DECISION_OFFICIAL_REPORT_REFERENCE\"",\""text\"":\""[1992] 1 SCR 3\""},{\""type\"":\""DECISION_OFFICIAL_REPORT_REFERENCE\"",\""text\"":\""[1992] 1 RCS 3\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" REJB 1992-67211\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""132 NR 321\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 48 FTR 160\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 88 DLR (4th) 1\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 31 ACWS (3d) 250\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1992] 2 WWR 193\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 84 Alta LR (2d) 129\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 7 CELR (NS) (2d) 1\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 3 Admin LR (2d) 1\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1992] CarswellNat 1313\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" EYB 1992-67211\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" JE 92-180\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1992] SCJ No 1 (QL)\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1992] ACS no 1\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Friends of the Oldman River Society v. Canada (Minister of Transport and Minister of Fisheries and Oceans)\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Friends of the Oldman River Society c. Canada (Ministre des Transports)\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""21890\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""Canada (Federal)\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Supreme Court of Canada\""}]"",
    ""jurisdictionId"": ""ca"",
    ""citedCount"": 1156
  }
]"
https://canlii.ca/t/1cff2,"[
  {
    ""id"": ""1989csc-scc127"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/ca/scc/doc/1989/1989canlii16/1989canlii16.html"",
    ""docTitle"": ""Just v. British Columbia"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1989 CanLII 16 (SCC)\""},{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1989 CanLII 16 (CSC)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""Just v. British Columbia\""},{\""type\"":\""DECISION_OFFICIAL_REPORT_REFERENCE\"",\""text\"":\""[1989] 2 SCR 1228\""},{\""type\"":\""DECISION_OFFICIAL_REPORT_REFERENCE\"",\""text\"":\""[1989] 2 RCS 1228\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""103 NR 1\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 64 DLR (4th) 689\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 18 ACWS (3d) 527\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1990] 1 WWR 385\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 41 BCLR (2d) 350\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1990] RRA 140\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 1 CCLT (2d) 1\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 41 Admin LR 161\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1989] CarswellBC 234\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" JE 90-18\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1989] SCJ No 121 (QL)\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 18 MVR (2d) 1\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1989] ACS no 121\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Just v. British columbia\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Just v. B.C.\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Just c. Colombie-Britannique\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""20246\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""Canada (Federal)\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Supreme Court of Canada\""}]"",
    ""jurisdictionId"": ""ca"",
    ""citedCount"": 698
  }
]"
https://canlii.ca/t/1cgl8,"[
  {
    ""id"": ""2002onca10536"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/on/onca/doc/2002/2002canlii45125/2002canlii45125.html"",
    ""docTitle"": ""Bjornson v. Creighton"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""2002 CanLII 45125 (ON CA)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""Bjornson v. Creighton\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""62 OR (3d) 236\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 221 DLR (4th) 489\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 166 OAC 44\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 31 RFL (5th) 242\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [2003] WDFL 47\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [2002] CarswellOnt 3866\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [2002] OJ No 4364 (QL)\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""C.B. v. E.C.C.\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""C35031\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""Ontario\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Court of Appeal for Ontario\""}]"",
    ""jurisdictionId"": ""on"",
    ""citedCount"": 247
  }
]"
https://canlii.ca/t/1chp8,"[
  {
    ""id"": ""2002qcca10491"",
    ""docType"": ""DECISION"",
    ""path"": ""/fr/qc/qcca/doc/2002/2002canlii6569/2002canlii6569.html"",
    ""docTitle"": ""L.(V.) c. S.(B.)"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""2002 CanLII 6569 (QC CA)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""L.(V.) c. S.(B.)\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" REJB 2002-35448\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""AZ-50150697\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" EYB 2002-35448\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" JE 2002-2066\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [2002] RDF 827\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""200-09-004139-025\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""Québec\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Cour d'appel du Québec\""}]"",
    ""jurisdictionId"": ""qc"",
    ""citedCount"": 67
  }
]"
https://canlii.ca/t/1cvp1,"[
  {
    ""id"": ""1998pesctd198710011"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/pe/pesctd/doc/1998/1998canlii6043/1998canlii6043.html"",
    ""docTitle"": ""APM Construction Inc. v. Construction and General Labourers Union"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1998 CanLII 6043 (PE SCTD)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""APM Construction Inc. v. Construction and General Labourers Union\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""165 Nfld & PEIR 17\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 509 APR 17\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""APM Construction Inc. v. Construction and General Labourers' Union, Local 1077 et al.\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""GSC-15515\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""Prince Edward Island\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Supreme Court of Prince Edward Island\""},{\""type\"":\""TRIBUNAL_NAME\"",\""text\"":\""Trial Division of the Prince Edward Island Supreme Court\""}]"",
    ""jurisdictionId"": ""pe"",
    ""citedCount"": 2
  }
]"
https://canlii.ca/t/1cxmx,"[
  {
    ""id"": ""1986csc-scc38"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/ca/scc/doc/1986/1986canlii17/1986canlii17.html"",
    ""docTitle"": ""Mills v. The Queen"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1986 CanLII 17 (SCC)\""},{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1986 CanLII 17 (CSC)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""Mills v. The Queen\""},{\""type\"":\""DECISION_OFFICIAL_REPORT_REFERENCE\"",\""text\"":\""[1986] 1 SCR 863\""},{\""type\"":\""DECISION_OFFICIAL_REPORT_REFERENCE\"",\""text\"":\""[1986] 1 RCS 863\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""58 OR (2d) 543\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 58 OR (2d) 544\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 29 DLR (4th) 161\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 67 NR 241\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 16 OAC 81\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 26 CCC (3d) 481\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 52 CR (3d) 1\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 17 WCB 41\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 21 CRR 76\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" JE 86-709\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1986] SCJ No 39 (QL)\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1986] ACS no 39\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""R. v. Mills\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Mills v. R.\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Re Mills and The Queen\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Mills c. La Reine\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""17818\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""Canada (Federal)\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Supreme Court of Canada\""}]"",
    ""jurisdictionId"": ""ca"",
    ""citedCount"": 1838
  }
]"
https://canlii.ca/t/1d69w,"[
  {
    ""id"": ""1990csc-scc9"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/ca/scc/doc/1990/1990canlii157/1990canlii157.html"",
    ""docTitle"": ""Bank of Montreal v. Hall"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1990 CanLII 157 (SCC)\""},{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1990 CanLII 157 (CSC)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""Bank of Montreal v. Hall\""},{\""type\"":\""DECISION_OFFICIAL_REPORT_REFERENCE\"",\""text\"":\""[1990] 1 SCR 121\""},{\""type\"":\""DECISION_OFFICIAL_REPORT_REFERENCE\"",\""text\"":\""[1990] 1 RCS 121\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""104 NR 110\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 65 DLR (4th) 361\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 19 ACWS (3d) 356\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1990] 2 WWR 193\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 82 Sask R 120\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 46 BLR 161\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" JE 90-294\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1990] SCJ No 9 (QL)\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 9 PPSAC 177\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Bank of montreal v. Hall\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Banque de Montréal c. Hall\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""20373\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""Canada (Federal)\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Supreme Court of Canada\""}]"",
    ""jurisdictionId"": ""ca"",
    ""citedCount"": 258
  }
]"
https://canlii.ca/t/1d8ms,"[
  {
    ""id"": ""1991bcca10602"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/bc/bcca/doc/1991/1991canlii440/1991canlii440.html"",
    ""docTitle"": ""Hamalainen v. Sippola"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1991 CanLII 440 (BC CA)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""Hamalainen v. Sippola\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""[1992] 2 WWR 132\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 62 BCLR (2d) 254\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 9 BCAC 254\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 3 CPC (3d) 297\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1991] CarswellBC 320\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1991] BCJ No 3614 (QL)\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Hamalainan (Committee of) v. Sippola\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""Hamalainen (Committee of) v. Sippola\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""CA012514\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""British Columbia\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Court of Appeal for British Columbia\""}]"",
    ""jurisdictionId"": ""bc"",
    ""citedCount"": 230
  }
]"
https://canlii.ca/t/1d958,"[
  {
    ""id"": ""1992bcca10482"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/bc/bcca/doc/1992/1992canlii2287/1992canlii2287.html"",
    ""docTitle"": ""MacMillan Bloedel Ltd. v. B.C. (Hydro and Power Authority)"",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1992 CanLII 2287 (BC CA)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""MacMillan Bloedel Ltd. v. B.C. (Hydro and Power Authority)\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\""98 DLR (4th) 492\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1993] 2 WWR 127\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 72 BCLR (2d) 273\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" 19 BCAC 215\""},{\""type\"":\""DECISION_OTHER_REFERENCES\"",\""text\"":\"" [1992] BCJ No 2310 (QL)\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""MacMillan Bloedel Ltd. v. British Columbia Hydro & Power Authority\""},{\""type\"":\""DECISION_ALTERNATE_TITLE\"",\""text\"":\""MacMillan Bloedel Ltd. v. British Columbia Hydro and Power Authority\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\"" CA013954\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""CA013953\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""British Columbia\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Court of Appeal for British Columbia\""}]"",
    ""jurisdictionId"": ""bc"",
    ""citedCount"": 71
  }
]"
https://canlii.ca/t/1dh8f,"[
  {
    ""id"": ""1993bcsc10110"",
    ""docType"": ""DECISION"",
    ""path"": ""/en/bc/bcsc/doc/1993/1993canlii1448/1993canlii1448.html"",
    ""docTitle"": ""Protec Installations Limited v. Aberdeen Construction Ltd."",
    ""autoCompletions"": ""[{\""type\"":\""DECISION_CANLII_REFERENCE\"",\""text\"":\""1993 CanLII 1448 (BC SC)\""},{\""type\"":\""MAIN_TITLE\"",\""text\"":\""Protec Installations Limited v. Aberdeen Construction Ltd.\""},{\""type\"":\""DECISION_DOCKET_NUMBER\"",\""text\"":\""C913123\""},{\""type\"":\""JURISDICTION_NAME\"",\""text\"":\""British Columbia\""},{\""type\"":\""COLLECTION_NAME\"",\""text\"":\""Supreme Court of British Columbia\""}]"",
    ""jurisdictionId"": ""bc"",
    ""citedCount"": 0
  }
]"
