split,file,uri,labelname,docid
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/1fqzp,decision,Remuneration of Judges
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/1fqzp,decision,Remuneration of Judges
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/1lpk5,decision,Medovarski
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/1lpk5,decision,Medovarski
train,data\annotated\train\2008CSC9.html,https://canlii.ca/t/50dn,decision,Martin
train,data\annotated\train\2008CSC9.html,https://canlii.ca/t/50dn,decision,Martin
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/50dn,decision,Nova Scotia (Workers' Compensation Board)
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/50dn,decision,Nova Scotia (Workers' Compensation Board)
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/h5201,decision,Guérin
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/h5201,decision,Guérin
train,data\annotated\train\2019SCC65.html,https://canlii.ca/t/h5201,decision,Guérin
train,data\annotated\train\2019SCC65.html,https://www.canlii.org/en/commentary/doc/2013CanLIIDocs427#Acquired_Expertise_of_Administrative_Tritors_and_Human_Rights_Law____Finn_Makela,secondary sources,The Case of Grievance Arbitrators
train,data\annotated\train\2019SCC65.html,https://www.canlii.org/en/commentary/doc/2013CanLIIDocs427#Acquired_Expertise_of_Administrative_Tritors_and_Human_Rights_Law____Finn_Makela,secondary sources,The Case of Grievance Arbitrators
train,data\annotated\train\2019SCC65.html,https://www.canlii.org/en/commentary/doc/2017CanLIIDocs175#IDENTIFYING_THE_REVIEW_STANDARD__ADMINISTRATIVE_DEFERENCE_IN_A_NUTSHELL,secondary sources,Administrative Deference in a Nutshell
train,data\annotated\train\2019SCC65.html,https://www.canlii.org/en/commentary/doc/2017CanLIIDocs175#IDENTIFYING_THE_REVIEW_STANDARD__ADMINISTRATIVE_DEFERENCE_IN_A_NUTSHELL,secondary sources,Administrative Deference in a Nutshell
